#################################################################################################################
##Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################
116603  -----   -----   gg2ZZ                 gg->ZZ->2e2mu                        Sample_zz_gg2zz

161966  -----   -----   Sherpa                Inclusive_llnunu                     NO_SUBGROUP

167006  -----   -----   MadGraph              WWW*->lnulnulnu                      Sample_vvv
167007  -----   -----   MadGraph              ZWW*->lllnulnu                       Sample_vvv
167008  -----   -----   MadGraph              ZZZ*->nunullll                       Sample_vvv

117680  -----   -----   Alpgen+Pythia6        Wenu+0p                              Sample_wjet_alppythia_e
117681  -----   -----   Alpgen+Pythia6        Wenu+1p                              Sample_wjet_alppythia_e
117682  -----   -----   Alpgen+Pythia6        Wenu+2p                              Sample_wjet_alppythia_e
117683  -----   -----   Alpgen+Pythia6        Wenu+3p                              Sample_wjet_alppythia_e
117684  -----   -----   Alpgen+Pythia6        Wenu+4p                              Sample_wjet_alppythia_e
117685  -----   -----   Alpgen+Pythia6        Wenu+5p                              Sample_wjet_alppythia_e
117690  -----   -----   Alpgen+Pythia6        Wmunu+0p                             Sample_wjet_alppythia_m
117691  -----   -----   Alpgen+Pythia6        Wmunu+1p                             Sample_wjet_alppythia_m
117692  -----   -----   Alpgen+Pythia6        Wmunu+2p                             Sample_wjet_alppythia_m
117693  -----   -----   Alpgen+Pythia6        Wmunu+3p                             Sample_wjet_alppythia_m
117694  -----   -----   Alpgen+Pythia6        Wmunu+4p                             Sample_wjet_alppythia_m
117695  -----   -----   Alpgen+Pythia6        Wmunu+5p                             Sample_wjet_alppythia_m
117700  -----   -----   Alpgen+Pythia6        Wtaunu+0p                            Sample_wjet_alppythia_t
117701  -----   -----   Alpgen+Pythia6        Wtaunu+1p                            Sample_wjet_alppythia_t
117702  -----   -----   Alpgen+Pythia6        Wtaunu+2p                            Sample_wjet_alppythia_t
117703  -----   -----   Alpgen+Pythia6        Wtaunu+3p                            Sample_wjet_alppythia_t
117704  -----   -----   Alpgen+Pythia6        Wtaunu+4p                            Sample_wjet_alppythia_t
117705  -----   -----   Alpgen+Pythia6        Wtaunu+5p                            Sample_wjet_alppythia_t

110801  -----   -----   Alpgen+Pythia6        Wbb+0p(nocut)                        Sample_wjhf_alppythia
110802  -----   -----   Alpgen+Pythia6        Wbb+1p(nocut)                        Sample_wjhf_alppythia
110803  -----   -----   Alpgen+Pythia6        Wbb+2p(nocut)                        Sample_wjhf_alppythia
110804  -----   -----   Alpgen+Pythia6        Wbb+3p(nocut)                        Sample_wjhf_alppythia
126601  -----   -----   Alpgen+Pythia6        Wc+0p(nocut)                         Sample_wjhf_alppythia
126602  -----   -----   Alpgen+Pythia6        Wc+1p(nocut)                         Sample_wjhf_alppythia
126603  -----   -----   Alpgen+Pythia6        Wc+2p(nocut)                         Sample_wjhf_alppythia
126604  -----   -----   Alpgen+Pythia6        Wc+3p(nocut)                         Sample_wjhf_alppythia
126605  -----   -----   Alpgen+Pythia6        Wc+4p(nocut)                         Sample_wjhf_alppythia
126606  -----   -----   Alpgen+Pythia6        Wcc+0p(nocut)                        Sample_wjhf_alppythia
126607  -----   -----   Alpgen+Pythia6        Wcc+1p(nocut)                        Sample_wjhf_alppythia
126608  -----   -----   Alpgen+Pythia6        Wcc+2p(nocut)                        Sample_wjhf_alppythia
126609  -----   -----   Alpgen+Pythia6        Wcc+3p(nocut)                        Sample_wjhf_alppythia

147025  -----   -----   Alpgen+Pythia6(Auto)  Wenu+0p                              Sample_wjet_alppythia_auto_e
147026  -----   -----   Alpgen+Pythia6(Auto)  Wenu+1p                              Sample_wjet_alppythia_auto_e
147027  -----   -----   Alpgen+Pythia6(Auto)  Wenu+2p                              Sample_wjet_alppythia_auto_e
147028  -----   -----   Alpgen+Pythia6(Auto)  Wenu+3p                              Sample_wjet_alppythia_auto_e
147029  -----   -----   Alpgen+Pythia6(Auto)  Wenu+4p                              Sample_wjet_alppythia_auto_e
147030  -----   -----   Alpgen+Pythia6(Auto)  Wenu+5p                              Sample_wjet_alppythia_auto_e
147033  -----   -----   Alpgen+Pythia6(Auto)  Wmunu+0p                             Sample_wjet_alppythia_auto_m
147034  -----   -----   Alpgen+Pythia6(Auto)  Wmunu+1p                             Sample_wjet_alppythia_auto_m
147035  -----   -----   Alpgen+Pythia6(Auto)  Wmunu+2p                             Sample_wjet_alppythia_auto_m
147036  -----   -----   Alpgen+Pythia6(Auto)  Wmunu+3p                             Sample_wjet_alppythia_auto_m
147037  -----   -----   Alpgen+Pythia6(Auto)  Wmunu+4p                             Sample_wjet_alppythia_auto_m
147038  -----   -----   Alpgen+Pythia6(Auto)  Wmunu+5p                             Sample_wjet_alppythia_auto_m
147041  -----   -----   Alpgen+Pythia6(Auto)  Wtaunu+0p                            Sample_wjet_alppythia_auto_t
147042  -----   -----   Alpgen+Pythia6(Auto)  Wtaunu+1p                            Sample_wjet_alppythia_auto_t
147043  -----   -----   Alpgen+Pythia6(Auto)  Wtaunu+2p                            Sample_wjet_alppythia_auto_t
147044  -----   -----   Alpgen+Pythia6(Auto)  Wtaunu+3p                            Sample_wjet_alppythia_auto_t
147045  -----   -----   Alpgen+Pythia6(Auto)  Wtaunu+4p                            Sample_wjet_alppythia_auto_t
147046  -----   -----   Alpgen+Pythia6(Auto)  Wtaunu+5p                            Sample_wjet_alppythia_auto_t

200256  -----   -----   Alpgen+Pythia6(Auto)  Wbb+0p(nocut)                        Sample_wjhf_alppythia_auto
200257  -----   -----   Alpgen+Pythia6(Auto)  Wbb+1p(nocut)                        Sample_wjhf_alppythia_auto
200258  -----   -----   Alpgen+Pythia6(Auto)  Wbb+2p(nocut)                        Sample_wjhf_alppythia_auto
200259  -----   -----   Alpgen+Pythia6(Auto)  Wbb+3p(nocut)                        Sample_wjhf_alppythia_auto
200056  -----   -----   Alpgen+Pythia6(Auto)  Wc+0p(nocut)                         Sample_wjhf_alppythia_auto
200057  -----   -----   Alpgen+Pythia6(Auto)  Wc+1p(nocut)                         Sample_wjhf_alppythia_auto
200058  -----   -----   Alpgen+Pythia6(Auto)  Wc+2p(nocut)                         Sample_wjhf_alppythia_auto
200059  -----   -----   Alpgen+Pythia6(Auto)  Wc+3p(nocut)                         Sample_wjhf_alppythia_auto
200060  -----   -----   Alpgen+Pythia6(Auto)  Wc+4p(nocut)                         Sample_wjhf_alppythia_auto
200156  -----   -----   Alpgen+Pythia6(Auto)  Wcc+0p(nocut)                        Sample_wjhf_alppythia_auto
200157  -----   -----   Alpgen+Pythia6(Auto)  Wcc+1p(nocut)                        Sample_wjhf_alppythia_auto
200158  -----   -----   Alpgen+Pythia6(Auto)  Wcc+2p(nocut)                        Sample_wjhf_alppythia_auto
200159  -----   -----   Alpgen+Pythia6(Auto)  Wcc+3p(nocut)                        Sample_wjhf_alppythia_auto

147806  -----   -----   Powheg+Pythia8        Z->ee(60<M)                          NO_SUBGROUP
147807  -----   -----   Powheg+Pythia8        Z->mumu(60<M)                        NO_SUBGROUP
147808  -----   -----   Powheg+Pythia8        Z->tautau(60<M)                      NO_SUBGROUP

183998  -----   -----   Sherpa                DYeeM02to08_1p80                     Sample_z_sherpa_ee
183999  -----   -----   Sherpa                DYmmM02to08_1p80                     Sample_z_sherpa_mm
147770  -----   -----   Sherpa                Z->ee(40<M)                          Sample_z_sherpa_ee
147771  -----   -----   Sherpa                Z->mumu(40<M)                        Sample_z_sherpa_mm
147772  -----   -----   Sherpa                Z->tautau(40<M)                      Sample_z_sherpa_tt
173041  -----   -----   Sherpa                Z->ee(8<M<15GeV)                     Sample_z_sherpa_ee
173042  -----   -----   Sherpa                Z->ee(15<M<40GeV)                    Sample_z_sherpa_ee
173043  -----   -----   Sherpa                Z->mumu(8<M<15GeV)                   Sample_z_sherpa_mm
173044  -----   -----   Sherpa                Z->mumu(15<M<40GeV)                  Sample_z_sherpa_mm
173045  -----   -----   Sherpa                Z->tautau(8<M<15GeV)                 Sample_z_sherpa_tt
173046  -----   -----   Sherpa                Z->tautau(15<M<40GeV)                Sample_z_sherpa_tt
147773  -----   -----   Sherpa                Z->nunu                              NO_SUBGROUP

109300  -----   -----   Alpgen+Herwig         Zee+bb+0p(30<M<10000GeV)             Sample_zllbb_alpgenherwig
109301  -----   -----   Alpgen+Herwig         Zee+bb+1p(30<M<10000GeV)             Sample_zllbb_alpgenherwig
109302  -----   -----   Alpgen+Herwig         Zee+bb+2p(30<M<10000GeV)             Sample_zllbb_alpgenherwig
109303  -----   -----   Alpgen+Herwig         Zee+bb+3p(30<M<10000GeV)             Sample_zllbb_alpgenherwig
109305  -----   -----   Alpgen+Herwig         Zmumu+bb+0p(30<M<10000GeV)           Sample_zllbb_alpgenherwig
109306  -----   -----   Alpgen+Herwig         Zmumu+bb+1p(30<M<10000GeV)           Sample_zllbb_alpgenherwig
109307  -----   -----   Alpgen+Herwig         Zmumu+bb+2p(30<M<10000GeV)           Sample_zllbb_alpgenherwig
109308  -----   -----   Alpgen+Herwig         Zmumu+bb+3p(30<M<10000GeV)           Sample_zllbb_alpgenherwig
109310  -----   -----   Alpgen+Herwig         Ztautau+bb+0p(30<M<10000GeV)         Sample_zllbb_alpgenherwig
109311  -----   -----   Alpgen+Herwig         Ztautau+bb+1p(30<M<10000GeV)         Sample_zllbb_alpgenherwig
109312  -----   -----   Alpgen+Herwig         Ztautau+bb+2p(30<M<10000GeV)         Sample_zllbb_alpgenherwig
109313  -----   -----   Alpgen+Herwig         Ztautau+bb+3p(30<M<10000GeV)         Sample_zllbb_alpgenherwig

117650  -----   -----   Alpgen+Pythia6        Zee+0p(60<M<2000GeV)                 Sample_zjet_alppythia_ee
117651  -----   -----   Alpgen+Pythia6        Zee+1p(60<M<2000GeV)                 Sample_zjet_alppythia_ee
117652  -----   -----   Alpgen+Pythia6        Zee+2p(60<M<2000GeV)                 Sample_zjet_alppythia_ee
