#################################################################################################################
##Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################
212272  -----   -----   UNKNOWN_GEN           TEMPORARY_ROBSAMPLE_REPLACE          Sample_ttbar
180538  -----   -----   Sherpa_CT10           WmunuMassiveCBPt40_70_CJetFilterBVeto   mc12_wjet_sherpa_m
180539  -----   -----   Sherpa_CT10           WmunuMassiveCBPt40_70_CJetVetoBVeto     mc12_wjet_sherpa_m

167746  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt0_BFilter               mc12_wjet_sherpa_t
167747  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt0_CJetFilterBVeto       mc12_wjet_sherpa_t
167748  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt0_CJetVetoBVeto         mc12_wjet_sherpa_t
167767  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt70_140_BFilter          mc12_wjet_sherpa_t
167768  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt70_140_CJetFilterBVeto  mc12_wjet_sherpa_t
167769  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt70_140_CJetVetoBVeto    mc12_wjet_sherpa_t
167776  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt140_280_BFilter         mc12_wjet_sherpa_t
167777  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt140_280_CJetFilterBVeto mc12_wjet_sherpa_t
167778  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt140_280_CJetVetoBVeto   mc12_wjet_sherpa_t
167785  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt280_500_BFilter         mc12_wjet_sherpa_t
167786  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt280_500_CJetFilterBVeto mc12_wjet_sherpa_t
167787  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt280_500_CJetVetoBVeto   mc12_wjet_sherpa_t
167794  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt500_BFilter             mc12_wjet_sherpa_t
167795  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt500_CJetFilterBVeto     mc12_wjet_sherpa_t
167796  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt500_CJetVetoBVeto       mc12_wjet_sherpa_t
180540  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt40_70_BFilter           mc12_wjet_sherpa_t
180541  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt40_70_CJetFilterBVeto   mc12_wjet_sherpa_t
180542  -----   -----   Sherpa_CT10           WtaunuMassiveCBPt40_70_CJetVetoBVeto     mc12_wjet_sherpa_t

167749  -----   -----   Sherpa_CT10           ZeeMassiveCBPt0_BFilter                  mc12_zjet_sherpa_ee
167750  -----   -----   Sherpa_CT10           ZeeMassiveCBPt0_CFilterBVeto             mc12_zjet_sherpa_ee
167751  -----   -----   Sherpa_CT10           ZeeMassiveCBPt0_CVetoBVeto               mc12_zjet_sherpa_ee
167797  -----   -----   Sherpa_CT10           ZeeMassiveCBPt70_140_BFilter             mc12_zjet_sherpa_ee
167798  -----   -----   Sherpa_CT10           ZeeMassiveCBPt70_140_CFilterBVeto        mc12_zjet_sherpa_ee
167799  -----   -----   Sherpa_CT10           ZeeMassiveCBPt70_140_CVetoBVeto          mc12_zjet_sherpa_ee
167809  -----   -----   Sherpa_CT10           ZeeMassiveCBPt140_280_BFilter            mc12_zjet_sherpa_ee
167810  -----   -----   Sherpa_CT10           ZeeMassiveCBPt140_280_CFilterBVeto       mc12_zjet_sherpa_ee
167811  -----   -----   Sherpa_CT10           ZeeMassiveCBPt140_280_CVetoBVeto         mc12_zjet_sherpa_ee
167821  -----   -----   Sherpa_CT10           ZeeMassiveCBPt280_500_BFilter            mc12_zjet_sherpa_ee
167822  -----   -----   Sherpa_CT10           ZeeMassiveCBPt280_500_CFilterBVeto       mc12_zjet_sherpa_ee
167823  -----   -----   Sherpa_CT10           ZeeMassiveCBPt280_500_CVetoBVeto         mc12_zjet_sherpa_ee
167833  -----   -----   Sherpa_CT10           ZeeMassiveCBPt500_BFilter                mc12_zjet_sherpa_ee
167834  -----   -----   Sherpa_CT10           ZeeMassiveCBPt500_CFilterBVeto           mc12_zjet_sherpa_ee
167835  -----   -----   Sherpa_CT10           ZeeMassiveCBPt500_CVetoBVeto             mc12_zjet_sherpa_ee

167752  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt0_BFilter                mc12_zjet_sherpa_mm
167753  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt0_CFilterBVeto           mc12_zjet_sherpa_mm
167754  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt0_CVetoBVeto             mc12_zjet_sherpa_mm
167800  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt70_140_BFilter           mc12_zjet_sherpa_mm
167801  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt70_140_CFilterBVeto      mc12_zjet_sherpa_mm
167802  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt70_140_CVetoBVeto        mc12_zjet_sherpa_mm
167812  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt140_280_BFilter          mc12_zjet_sherpa_mm
167813  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt140_280_CFilterBVeto     mc12_zjet_sherpa_mm
167814  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt140_280_CVetoBVeto       mc12_zjet_sherpa_mm
167824  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt280_500_BFilter          mc12_zjet_sherpa_mm
167825  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt280_500_CFilterBVeto     mc12_zjet_sherpa_mm
167826  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt280_500_CVetoBVeto       mc12_zjet_sherpa_mm
167836  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt500_BFilter              mc12_zjet_sherpa_mm
167837  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt500_CFilterBVeto         mc12_zjet_sherpa_mm
167838  -----   -----   Sherpa_CT10           ZmumuMassiveCBPt500_CVetoBVeto           mc12_zjet_sherpa_mm

167755  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt0_BFilter              mc12_zjet_sherpa_tt
167756  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt0_CFilterBVeto         mc12_zjet_sherpa_tt
167757  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt0_CVetoBVeto           mc12_zjet_sherpa_tt
167803  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt70_140_BFilter         mc12_zjet_sherpa_tt
167804  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt70_140_CFilterBVeto    mc12_zjet_sherpa_tt
167805  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt70_140_CVetoBVeto      mc12_zjet_sherpa_tt
167815  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt140_280_BFilter        mc12_zjet_sherpa_tt
167816  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt140_280_CFilterBVeto   mc12_zjet_sherpa_tt
167817  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt140_280_CVetoBVeto     mc12_zjet_sherpa_tt
167827  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt280_500_BFilter        mc12_zjet_sherpa_tt
167828  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt280_500_CFilterBVeto   mc12_zjet_sherpa_tt
167829  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt280_500_CVetoBVeto     mc12_zjet_sherpa_tt
167839  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt500_BFilter            mc12_zjet_sherpa_tt
167840  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt500_CFilterBVeto       mc12_zjet_sherpa_tt
167841  -----   -----   Sherpa_CT10           ZtautauMassiveCBPt500_CVetoBVeto         mc12_zjet_sherpa_tt

167758  -----   -----   Sherpa_CT10           ZnunuMassiveCBPt0_BFilter                mc12_zjet_sherpa_nn
167759  -----   -----   Sherpa_CT10           ZnunuMassiveCBPt0_CFilterBVeto           mc12_zjet_sherpa_nn
167760  -----   -----   Sherpa_CT10           ZnunuMassiveCBPt0_CVetoBVeto             mc12_zjet_sherpa_nn

361468  -----   -----   Sherpa_CT10           Zee_Mll10to40_Pt0_70_BVeto               mc15_zjet_sherpa_lowm_ee
361469  -----   -----   Sherpa_CT10           Zee_Mll10to40_Pt0_70_BFilter             mc15_zjet_sherpa_lowm_ee
361470  -----   -----   Sherpa_CT10           Zee_Mll10to40_Pt70_140_BVeto             mc15_zjet_sherpa_lowm_ee
361471  -----   -----   Sherpa_CT10           Zee_Mll10to40_Pt70_140_BFilter           mc15_zjet_sherpa_lowm_ee
361472  -----   -----   Sherpa_CT10           Zee_Mll10to40_Pt140_400_BVeto            mc15_zjet_sherpa_lowm_ee
361473  -----   -----   Sherpa_CT10           Zee_Mll10to40_Pt140_400_BFilter          mc15_zjet_sherpa_lowm_ee
361474  -----   -----   Sherpa_CT10           Zee_Mll10to40_Pt400_E_CMS_BVeto          mc15_zjet_sherpa_lowm_ee
361475  -----   -----   Sherpa_CT10           Zee_Mll10to40_Pt400_E_CMS_BFilter        mc15_zjet_sherpa_lowm_ee

361476  -----   -----   Sherpa_CT10           Zmumu_Mll10to40_Pt0_70_BVeto             mc15_zjet_sherpa_lowm_mm
361477  -----   -----   Sherpa_CT10           Zmumu_Mll10to40_Pt0_70_BFilter           mc15_zjet_sherpa_lowm_mm
361478  -----   -----   Sherpa_CT10           Zmumu_Mll10to40_Pt70_140_BVeto           mc15_zjet_sherpa_lowm_mm
361479  -----   -----   Sherpa_CT10           Zmumu_Mll10to40_Pt70_140_BFilter         mc15_zjet_sherpa_lowm_mm
361480  -----   -----   Sherpa_CT10           Zmumu_Mll10to40_Pt140_400_BVeto          mc15_zjet_sherpa_lowm_mm
361481  -----   -----   Sherpa_CT10           Zmumu_Mll10to40_Pt140_400_BFilter        mc15_zjet_sherpa_lowm_mm
361482  -----   -----   Sherpa_CT10           Zmumu_Mll10to40_Pt400_E_CMS_BVeto        mc15_zjet_sherpa_lowm_mm
361483  -----   -----   Sherpa_CT10           Zmumu_Mll10to40_Pt400_E_CMS_BFilter      mc15_zjet_sherpa_lowm_mm

361484  -----   -----   Sherpa_CT10           Ztautau_Mll10to40_Pt0_70_BVeto           mc15_zjet_sherpa_lowm_tt
361485  -----   -----   Sherpa_CT10           Ztautau_Mll10to40_Pt0_70_BFilter         mc15_zjet_sherpa_lowm_tt
361486  -----   -----   Sherpa_CT10           Ztautau_Mll10to40_Pt70_140_BVeto         mc15_zjet_sherpa_lowm_tt
361487  -----   -----   Sherpa_CT10           Ztautau_Mll10to40_Pt70_140_BFilter       mc15_zjet_sherpa_lowm_tt
361488  -----   -----   Sherpa_CT10           Ztautau_Mll10to40_Pt140_400_BVeto        mc15_zjet_sherpa_lowm_tt
361489  -----   -----   Sherpa_CT10           Ztautau_Mll10to40_Pt140_400_BFilter      mc15_zjet_sherpa_lowm_tt
361490  -----   -----   Sherpa_CT10           Ztautau_Mll10to40_Pt400_E_CMS_BVeto      mc15_zjet_sherpa_lowm_tt
