#################################################################################################################
## File for samples that are not used really anymore (but we want to keep the info around)
## Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################

204531  120.0   105.0   MadGraph              VBF_BH_C1C1_120_0_N1_105_slep        Sample_c1c1_vbf_bh
204532  120.0   115.0   MadGraph              VBF_BH_C1C1_120_0_N1_115_slep        Sample_c1c1_vbf_bh

157817  -----   -----   Sherpa                Sherpa_VVtoenuqq                     NO_SUBGROUP
157818  -----   -----   Sherpa                Sherpa_VVtomunuqq                    NO_SUBGROUP
157819  -----   -----   Sherpa                Sherpa_VVtotaunuqq                   NO_SUBGROUP

105921  -----   -----   UNKNOWN_GEN           qq->WpWm->eenunu                     NO_SUBGROUP
105922  -----   -----   UNKNOWN_GEN           qq->WpWm->emununu                    NO_SUBGROUP
105923  -----   -----   UNKNOWN_GEN           qq->WpWm->etaununu                   NO_SUBGROUP
105924  -----   -----   UNKNOWN_GEN           qq->WpWm->muenunu                    NO_SUBGROUP
105925  -----   -----   UNKNOWN_GEN           qq->WpWm->mumununu                   NO_SUBGROUP
105926  -----   -----   UNKNOWN_GEN           qq->WpWm->mutaununu                  NO_SUBGROUP
105927  -----   -----   UNKNOWN_GEN           qq->WpWm->tauenunu                   NO_SUBGROUP
105928  -----   -----   UNKNOWN_GEN           qq->WpWm->taumununu                  NO_SUBGROUP
105929  -----   -----   UNKNOWN_GEN           qq->WpWm->tautaununu                 NO_SUBGROUP

169440  -----   -----   gg2WW3.1.2            gg->H->WpWm->SF                      NO_SUBGROUP
169441  -----   -----   gg2WW3.1.2            gg->H->WpWm->DF                      NO_SUBGROUP
169442  -----   -----   gg2WW3.1.2            gg->VV->SF(with_interference)        NO_SUBGROUP
169443  -----   -----   gg2WW3.1.2            gg->VV->DF(with_interference)        NO_SUBGROUP

169061  -----   -----   Powheg+Pythia6        qq->WpWm->eenunu                     NO_SUBGROUP
169062  -----   -----   Powheg+Pythia6        qq->WpWm->muenunu                    NO_SUBGROUP
169063  -----   -----   Powheg+Pythia6        qq->WpWm->tauenunu                   NO_SUBGROUP
169064  -----   -----   Powheg+Pythia6        qq->WpWm->emnunu                     NO_SUBGROUP
169065  -----   -----   Powheg+Pythia6        qq->WpWm->mumununu                   NO_SUBGROUP
169066  -----   -----   Powheg+Pythia6        qq->WpWm->taumununu                  NO_SUBGROUP
169067  -----   -----   Powheg+Pythia6        qq->WpWm->etaununu                   NO_SUBGROUP
169068  -----   -----   Powheg+Pythia6        qq->WpWm->mutaununu                  NO_SUBGROUP
169069  -----   -----   Powheg+Pythia6        qq->WpWm->tautaununu                 NO_SUBGROUP
181111  -----   -----   Powheg+Pythia6        qq->WpWm->eenunu(P2011C)             NO_SUBGROUP
181112  -----   -----   Powheg+Pythia6        qq->WpWm->muenunu(P2011C)            NO_SUBGROUP
181113  -----   -----   Powheg+Pythia6        qq->WpWm->tauenunu(P2011C)           NO_SUBGROUP
181114  -----   -----   Powheg+Pythia6        qq->WpWm->emnunu(P2011C)             NO_SUBGROUP
181115  -----   -----   Powheg+Pythia6        qq->WpWm->mumununu(P2011C)           NO_SUBGROUP
181116  -----   -----   Powheg+Pythia6        qq->WpWm->taumununu(P2011C)          NO_SUBGROUP
181117  -----   -----   Powheg+Pythia6        qq->WpWm->etaununu(P2011C)           NO_SUBGROUP
181118  -----   -----   Powheg+Pythia6        qq->WpWm->mutaununu(P2011C)          NO_SUBGROUP
181119  -----   -----   Powheg+Pythia6        qq->WpWm->tautaununu(P2011C)         NO_SUBGROUP

161961  -----   -----   Sherpa                WZ->lllnu                            NO_SUBGROUP
161987  -----   -----   Sherpa                WZ->lllnu+jj(6EWcoupling)            NO_SUBGROUP
105987  -----   -----   Herwig                InclusiveWZ_1lepEF                   NO_SUBGROUP

146890  -----   -----   MadGraph              Wgamma*->lnuee(mll<7GeV)             NO_SUBGROUP
146892  -----   -----   MadGraph              Wgamma*->lnumumu(mll<7GeV)           NO_SUBGROUP
146894  -----   -----   MadGraph              Wgamma*->lnutautau(mll<7GeV)         NO_SUBGROUP
146891  -----   -----   MadGraph              Wgamma*->lnuee(mll>7GeV)             NO_SUBGROUP
146893  -----   -----   MadGraph              Wgamma*->lnumumu(mll>7GeV)           NO_SUBGROUP
146895  -----   -----   MadGraph              Wgamma*->lnutautau(mll>7GeV)         NO_SUBGROUP

169850  -----   -----   Sherpa                Wgamma*->lnuee(mll<7GeV)             NO_SUBGROUP
169851  -----   -----   Sherpa                Wgamma*->lnumumu(mll<7GeV)           NO_SUBGROUP
169852  -----   -----   Sherpa                Wgamma*->lnutautau(mll<7GeV)         NO_SUBGROUP
181452  -----   -----   Sherpa                Wgamma*->lnuee(mll<7GeV)+1p          NO_SUBGROUP
181453  -----   -----   Sherpa                Wgamma*->lnumumu(mll<7GeV)+1p        NO_SUBGROUP
181454  -----   -----   Sherpa                Wgamma*->lnutautau(mll<7GeV)+1p      NO_SUBGROUP

181471  -----   -----   Sherpa                Zgamma*->4e(mll1/2>4/<4GeV)+1p       NO_SUBGROUP
181472  -----   -----   Sherpa                Zgamma*->2e2mu(mll1/2>4/<4GeV)+1p    NO_SUBGROUP
181473  -----   -----   Sherpa                Zgamma*->2e2tau(mll1/2>4/<4GeV)+1p   NO_SUBGROUP
181474  -----   -----   Sherpa                Zgamma*->2mu2e(mll1/2>4/<4GeV)+1p    NO_SUBGROUP
181475  -----   -----   Sherpa                Zgamma*->4mu(mll1/2>4/<4GeV)+1p      NO_SUBGROUP
181476  -----   -----   Sherpa                Zgamma*->2mu2tau(mll1/2>4/<4GeV)+1p  NO_SUBGROUP
181477  -----   -----   Sherpa                Zgamma*->2tau2e(mll1/2>4/<4GeV)+1p   NO_SUBGROUP
181478  -----   -----   Sherpa                Zgamma*->2tau2mu(mll1/2>4/<4GeV)+1p  NO_SUBGROUP
181479  -----   -----   Sherpa                Zgamma*->4tau(mll1/2>4/<4GeV)+1p     NO_SUBGROUP

161962  -----   -----   Sherpa                ZZ->llll                             NO_SUBGROUP
161963  -----   -----   Sherpa                ZZ->llnunu(Mll>4GeV)                 NO_SUBGROUP
177999  -----   -----   Sherpa                ZZ->llnunu(MassiveB/C)               NO_SUBGROUP
161986  -----   -----   Sherpa                ZZ->llnunu+jj(6EWcoupling)           NO_SUBGROUP
161988  -----   -----   Sherpa                ZZ->llll+jj(6EWcoupling)             NO_SUBGROUP
105986  -----   -----   Herwig                InclusiveZZ_1lepEF                   NO_SUBGROUP

147800  -----   -----   Powheg+Pythia8        W+->enu                              NO_SUBGROUP
147801  -----   -----   Powheg+Pythia8        W+->munu                             NO_SUBGROUP
147802  -----   -----   Powheg+Pythia8        W+->taunu                            NO_SUBGROUP
147803  -----   -----   Powheg+Pythia8        W-->enu                              NO_SUBGROUP
147804  -----   -----   Powheg+Pythia8        W-->munu                             NO_SUBGROUP
147805  -----   -----   Powheg+Pythia8        W-->taunu                            NO_SUBGROUP
147774  -----   -----   Sherpa                W->enu                               NO_SUBGROUP
147775  -----   -----   Sherpa                W->munu                              NO_SUBGROUP
147776  -----   -----   Sherpa                W->taunu                             NO_SUBGROUP
107680  -----   -----   Alpgen+Herwig         Wenu+0p                              NO_SUBGROUP
107681  -----   -----   Alpgen+Herwig         Wenu+1p                              NO_SUBGROUP
107682  -----   -----   Alpgen+Herwig         Wenu+2p                              NO_SUBGROUP
107683  -----   -----   Alpgen+Herwig         Wenu+3p                              NO_SUBGROUP
107684  -----   -----   Alpgen+Herwig         Wenu+4p                              NO_SUBGROUP
107685  -----   -----   Alpgen+Herwig         Wenu+5p                              NO_SUBGROUP
107690  -----   -----   Alpgen+Herwig         Wmunu+0p                             NO_SUBGROUP
107691  -----   -----   Alpgen+Herwig         Wmunu+1p                             NO_SUBGROUP
107692  -----   -----   Alpgen+Herwig         Wmunu+2p                             NO_SUBGROUP
107693  -----   -----   Alpgen+Herwig         Wmunu+3p                             NO_SUBGROUP
107694  -----   -----   Alpgen+Herwig         Wmunu+4p                             NO_SUBGROUP
